Brands,Models,Colors,Camera,Rating,Selling Price,Original Price,Mobile,Discount,discount percentage,clean_memory,clean_storage
14,554,315,0,-0.21876055965606087,0.030874599248843195,-0.031003210453853958,768,0,0.0,-0.09020193413778459,0.4466093797447714
1,888,247,0,3.316692356075757,3.5765155478282664,3.3484308147400625,35,0,0.0,-0.14640839935545213,1.8657976938542835
10,256,236,0,-0.21876055965606087,-0.4145646285553226,-0.45556184581162196,445,0,0.0,-0.14640839935545213,-0.26298477730998476
11,678,344,0,-0.21876055965606087,0.032223495388760424,0.040704739843911236,524,2191,7.558039256269619,-0.09020193413778459,1.8657976938542835
7,725,58,0,-0.21876055965606087,-0.44993942982465185,-0.4892784033474156,243,0,0.0,-0.1885632482687028,-0.8838796647328964
11,238,247,0,-0.21876055965606087,-0.4334154521106658,-0.4735290104088657,503,0,0.0,-0.14640839935545213,-0.26298477730998476
16,743,348,0,-0.21876055965606087,-0.5008602591065271,-0.537812246892743,877,0,0.0,-0.14640839935545213,0.4466093797447714
7,278,438,0,-0.21876055965606087,0.9832627188374002,0.8767403719349782,214,0,0.0,-0.11830516674661835,0.4466093797447714
7,600,46,0,-0.21876055965606087,-0.440126210406754,-0.4799251924390115,234,0,0.0,-0.1885632482687028,-0.9282292995488186
11,120,247,0,-0.21876055965606087,-0.5345826626044577,-0.5699538651346817,466,0,0.0,-0.1745116319642859,-0.7951803951010518
13,374,46,0,-0.21876055965606087,-0.3658020330973149,-0.4090850658337786,636,0,0.0,-0.16046001565986903,-0.6177818558373628
11,141,239,0,-0.21876055965606087,-0.5008602591065271,-0.2806793009572336,477,8000,42.1274354923644,-0.14640839935545213,-0.26298477730998476
11,108,377,0,-0.21876055965606087,-0.5008602591065271,-0.4735290104088657,458,2000,15.396458814472672,-0.16046001565986903,-0.6177818558373628
15,83,582,0,-0.21876055965606087,-0.3150835382364272,-0.3446732628769335,821,500,2.941349491146538,-0.14640839935545213,0.4466093797447714
15,181,246,0,-0.21876055965606087,-0.43311195047918444,-0.40895649936081085,843,2000,13.334222281485433,-0.14640839935545213,0.4466093797447714
2,104,247,0,-0.21876055965606087,-0.517417959224011,-0.553593781449535,63,0,0.0,-0.14640839935545213,-0.26298477730998476
6,585,74,0,-0.21876055965606087,-0.3656671434833232,-0.40895649936081085,186,0,0.0,-0.14640839935545213,-0.26298477730998476
10,507,46,0,-0.21876055965606087,-0.5005567574750457,-0.5375229723285656,446,0,0.0,6.991812683288327,-0.9282292995488186
13,340,174,0,-0.21876055965606087,-0.5511403627219417,-0.553593781449535,602,1000,9.52471663967997,-0.16046001565986903,-0.6177818558373628
12,519,130,0,-0.21876055965606087,-0.4668343539771151,-0.4732397358446882,540,1000,7.692899453804139,-0.11830516674661835,-0.26298477730998476
5,41,470,0,-0.21876055965606087,0.4096446353376001,0.4264363003654173,162,3000,7.318858258111735,-0.09020193413778459,1.8657976938542835
13,461,46,0,-0.21876055965606087,-0.8166705678646475,-0.8388185017284987,723,0,0.0,-0.14640839935545213,-0.9504041169567797
13,308,420,0,-0.21876055965606087,-0.26480343462101263,-0.31282091919917226,570,0,0.0,-0.1745116319642859,-0.7951803951010518
9,510,247,0,-0.21876055965606087,-0.43311195047918444,-0.4732397358446882,356,0,0.0,-0.14640839935545213,-0.26298477730998476
7,621,46,0,-0.21876055965606087,-0.19735862762515136,-0.24853768271529492,238,0,0.0,-0.14640839935545213,-0.26298477730998476
2,604,46,0,-0.21876055965606087,-0.7369170835920416,-0.7628035745863138,100,0,0.0,-0.1885632482687028,-0.7951803951010518
13,368,247,0,-0.21876055965606087,-0.4027280649275489,-0.44428013780870146,630,0,0.0,-0.16046001565986903,-0.6177818558373628
1,903,516,0,-0.21876055965606087,-0.018326387454637605,0.06998575406231737,50,4601,15.387959866220736,-0.1745116319642859,-0.6177818558373628
13,733,46,0,-3.754213475387879,-0.7028911784626295,-0.7303726817801977,753,0,0.0,-0.1885632482687028,-0.8838796647328964
13,311,46,0,-0.21876055965606087,-0.0621317895984495,-0.11964979356512083,573,0,0.0,-0.11830516674661835,-0.26298477730998476
7,182,373,0,-0.21876055965606087,-0.672541015314492,-0.6392833356825435,204,1934,24.69041235797268,-0.1745116319642859,-0.7951803951010518
0,879,67,0,-0.21876055965606087,-0.3454337013845648,-0.38967152841564767,29,0,0.0,-0.14640839935545213,-0.26298477730998476
15,175,146,0,-0.21876055965606087,-0.568001564470907,-0.5696645905705042,838,1000,10.00100010001,-0.16046001565986903,-0.26298477730998476
14,14,561,0,-0.21876055965606087,-0.028443108504016795,0.0731677742682693,759,5000,16.66722224074136,-0.11830516674661835,0.4466093797447714
15,93,541,0,-0.21876055965606087,-0.33194473998539253,-0.31253164463499483,823,2000,11.111728429357187,-0.11830516674661835,0.4466093797447714
0,868,67,0,-0.21876055965606087,-0.618585169717803,-0.6500186361753509,18,0,0.0,-0.1745116319642859,-0.6177818558373628
1,903,247,0,-0.21876055965606087,1.016951399931833,0.9088498485586749,50,0,0.0,-0.1745116319642859,0.4466093797447714
10,812,80,0,-0.21876055965606087,-0.6020274696003189,-0.6342371016185591,454,0,0.0,10.589026457219049,-0.9282292995488186
13,300,46,0,-0.21876055965606087,-0.3656671434833232,-0.31253164463499483,562,3000,16.667592644035782,-0.14640839935545213,-0.26298477730998476
